"Dataset","Response","Fixef","LandUseVar","AIC","R2Marginal","R2Conditional","n","n_RB","deltaAIC"
"Biome4","SpeciesRichness","LandUse*Realm","LandUse4",7469.28541791181,0.0227239164152951,0.877734345271683,5536,4,-67.2996696770497
"Biome4","SpeciesRichness","LandUse*Realm","LandUse",7475.05673649778,0.0225094929490101,0.877762927082863,5536,4,-61.5283510910795
"Biome4","SpeciesRichness","LandUse*Realm","LandUse5",7482.31365295169,0.0191574198991002,0.876574515817784,5536,4,-54.2714346371677
"Biome4","SpeciesRichness","LandUse*Realm","LandUse3",7482.65116837719,0.0189705156965464,0.876230802176337,5536,4,-53.9339192116659
"Biome4","SpeciesRichness","LandUse*Realm","LandUse2",7536.58508758886,0.0130848784405932,0.873078132437349,5536,4,0
"Biome4","LogRichness","UseIntensity:Realm","LU_UI_3",7424.82111146566,0.0212778467737616,0.877223443617422,5536,4,-112.257292017664
"Biome4","LogRichness","LandUse:Realm","LandUse",7475.05673649778,0.0225094929490101,0.877762927082863,5536,4,-62.0216669855481
"Biome4","LogRichness","LandUse","LandUse",7519.20817515101,0.00354064905125413,0.874494140711536,5536,4,-17.8702283323128
"Biome4","LogRichness","UseIntensity","LU_UI_3",7537.07840348333,0.000552728129442713,0.872543877290627,5536,4,0
"Biome4","LogAbund","LandUse:Realm","LandUse",12826.5232120429,0.0901393842458909,0.926136148759042,4766,4,-86.8332947419731
"Biome4","LogAbund","LandUse","LandUse",12838.739837208,0.0126667822481673,0.924918295660031,4766,4,-74.6166695769261
"Biome4","LogAbund","UseIntensity:Realm","LU_UI_3",12888.0789887809,0.0789799335916449,0.925470902858883,4766,4,-25.2775180040189
"Biome4","LogAbund","UseIntensity","LU_UI_3",12913.3565067849,0.000802083369869078,0.925039808740546,4766,4,0
